# 2pts measurement, sourcing 1mA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.089	4.504	4.529	0.002649208
1	1.289	4.391	4.443	0.002648697
2	2.455	4.391	4.443	0.002649121
3	3.608	4.313	4.368	0.002649292
4	4.769	4.313	4.368	0.002649207
5	5.928	4.238	4.293	0.002648867
6	7.093	4.238	4.293	0.002648697
7	8.249	4.168	4.222	0.002649971
8	9.414	4.168	4.222	0.002650565
9	10.569	4.111	4.161	0.002648697
10	11.732	4.111	4.161	0.002649037
11	12.896	4.056	4.113	0.002650139
12	14.058	4.056	4.113	0.00264929
13	15.209	4.73	4.61	0.002650394
14	16.372	4.73	4.61	0.002651246
15	17.523	5.322	5.298	0.002649799
16	18.671	5.322	5.298	0.00265031
17	19.826	5.621	5.615	0.002647848
18	20.993	5.621	5.615	0.002648526
19	22.155	5.825	5.818	0.002650139
20	23.316	5.825	5.818	0.002650396
21	24.479	6.027	5.99	0.002650477
22	25.641	6.027	5.99	0.002652435
23	26.807	6.239	6.264	0.002650732
24	27.958	6.239	6.264	0.002650054
25	29.106	6.422	6.447	0.002650141
26	30.258	6.422	6.447	0.002652431
27	31.413	6.557	6.584	0.00264997
28	32.569	6.557	6.584	0.00265048
29	33.721	6.757	6.745	0.00265065
30	34.87	6.757	6.745	0.002651159
31	36.02	6.943	6.93	0.002650307
32	37.169	6.943	6.93	0.002648867
33	38.326	7.038	7.058	0.002648186
34	39.474	7.038	7.058	0.002649631
35	40.625	7.163	7.167	0.002650479
36	41.785	7.163	7.167	0.002650141
37	42.945	7.342	7.274	0.002651756
38	44.11	7.342	7.274	0.00265201
39	45.277	7.517	7.496	0.002649462
40	46.458	7.517	7.496	0.002650311
41	47.633	7.614	7.613	0.002650733
42	48.799	7.614	7.613	0.002651582
43	49.946	7.776	7.723	0.002651075
44	51.109	7.776	7.723	0.002649799
45	52.258	7.933	7.905	0.002650908
46	53.411	7.933	7.905	0.002651583
47	54.566	8.041	8.022	0.002649544
48	55.732	8.041	8.022	0.002650566
49	56.882	8.118	8.112	0.002650139
50	58.032	8.118	8.112	0.002652177
51	59.184	8.211	8.177	0.002648355
52	60.35	8.211	8.177	0.002651499
53	61.512	8.356	8.343	0.00265065
54	62.659	8.356	8.343	0.00264963
55	63.804	8.441	8.436	0.002650649
56	64.954	8.441	8.436	0.002651753
57	66.147	8.525	8.501	0.002654042
58	67.3	8.525	8.501	0.00265328
59	68.461	8.702	8.587	0.002658203
60	69.609	8.702	8.587	0.002658287
61	70.762	8.803	8.73	0.002662532
62	71.911	8.803	8.73	0.002669149
63	73.059	8.861	8.869	0.002665161
64	74.206	8.861	8.869	0.002679249
65	75.367	8.901	8.878	0.00268298
66	76.516	8.901	8.878	0.02180071
67	77.677	9.048	9.069	0.02532908
68	78.824	9.048	9.069	0.0260487
69	79.975	9.146	9.172	0.03013851
70	81.15	9.146	9.172	0.03048777
71	82.312	9.206	9.229	0.03172053
72	83.533	9.372	9.381	0.04425761
73	84.68	9.372	9.381	0.05611179
74	85.83	9.7	9.708	0.08266076
75	86.988	9.7	9.708	0.2100871
76	88.133	9.924	9.932	0.2100793
77	89.278	9.924	9.932	0.2100754
78	90.426	10.055	10.075	0.2100784
79	91.573	10.055	10.075	0.2100719
80	92.726	10.13	10.16	0.210073
81	93.875	10.13	10.16	0.2100722
82	95.023	10.185	10.21	0.2100706
83	96.186	10.185	10.21	0.210072
84	97.336	10.242	10.249	0.2100715
85	98.499	10.242	10.249	0.2100706
