# 2pts measurement, sourcing 1mA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.09	17.513	17.448	0.2788331
1	1.293	17.513	17.448	0.2789032
2	2.454	17.953	17.892	0.2789688
3	3.616	17.953	17.892	0.279007
4	4.806	18.352	18.295	0.2789976
5	5.969	18.352	18.295	0.2789526
6	7.119	18.166	18.236	0.2789034
7	8.272	18.166	18.236	0.2788662
8	9.436	17.849	17.884	0.2787696
9	10.587	17.849	17.884	0.2785354
10	11.739	16.961	17.301	0.278243
11	12.892	16.961	17.301	0.2778648
12	14.038	15.993	16.269	0.2774606
13	15.205	15.993	16.269	0.2770283
14	16.372	15.197	15.436	0.276484
15	17.522	15.197	15.436	0.2760642
16	18.684	14.6	14.784	0.2755855
17	19.863	14.6	14.784	0.2750252
18	21.028	14.179	14.304	0.2746814
19	22.196	14.179	14.304	0.2741749
20	23.349	13.865	13.955	0.2736316
21	24.504	13.865	13.955	0.2733228
22	25.655	13.597	13.686	0.27266
23	26.802	13.597	13.686	0.2723609
24	27.957	13.369	13.465	0.2719978
25	29.107	13.369	13.465	0.271342
26	30.293	13.195	13.279	0.2712477
27	31.447	13.195	13.279	0.2707783
28	32.584	13.074	13.128	0.2703711
29	33.728	13.074	13.128	0.2703386
30	34.878	12.99	13.016	0.2696013
31	36.027	12.99	13.016	0.2696731
32	37.179	12.913	12.938	0.2693455
33	38.331	12.913	12.938	0.2688473
34	39.486	12.837	12.879	0.2690302
35	40.636	12.837	12.879	0.2683524
36	41.782	12.767	12.822	0.2684399
37	42.94	12.767	12.822	0.2683693
38	44.09	12.74	12.751	0.267686
39	45.237	12.74	12.751	0.2680562
40	46.387	12.69	12.719	0.2675286
41	47.535	12.69	12.719	0.2674802
42	48.685	12.648	12.682	0.2673998
43	49.834	12.648	12.682	0.2658343
44	50.982	12.544	12.561	0.2658814
45	52.132	12.544	12.561	0.2650162
46	53.284	12.46	12.459	0.2643121
47	54.437	12.46	12.459	0.2645815
48	55.591	12.411	12.448	0.2631389
49	56.742	12.411	12.448	0.2635952
50	57.892	12.361	12.379	0.263312
51	59.054	12.361	12.379	0.2621709
52	60.209	12.31	12.345	0.2630052
53	61.36	12.31	12.345	0.2618056
54	62.506	12.273	12.302	0.2619587
55	63.665	12.273	12.302	0.2623219
56	64.817	12.259	12.268	0.2607403
57	65.978	12.259	12.268	0.2607579
58	67.145	12.229	12.229	0.2587066
59	68.297	12.229	12.229	0.2562393
60	69.443	12.118	12.121	0.2569671
61	70.596	12.118	12.121	0.2532132
62	71.746	12.038	12.064	0.2540722
63	72.895	12.038	12.064	0.2536289
64	74.059	11.975	12.009	0.2497443
65	75.221	11.975	12.009	0.2522946
66	76.387	11.937	11.959	0.2496633
67	77.541	11.937	11.959	0.2482336
68	78.693	11.92	11.924	0.2505592
69	79.848	11.92	11.924	0.2447885
70	81.011	11.885	11.912	0.2480633
71	82.161	11.885	11.912	0.2477033
72	83.326	11.872	11.914	0.2426645
73	84.475	11.872	11.914	0.2474488
74	85.641	11.87	11.899	0.2430214
75	86.859	11.872	11.874	0.2414906
76	88.008	11.872	11.874	0.2461266
77	89.165	11.853	11.845	0.2393961
78	90.328	11.853	11.845	0.2425202
79	91.492	11.825	11.834	0.2442794
80	92.657	11.825	11.834	0.2361118
81	93.95	11.805	11.852	0.2390251
82	95.095	11.805	11.852	0.2430264
83	96.245	11.803	11.842	0.233774
84	97.397	11.803	11.842	0.241053
85	98.557	11.814	11.833	0.2391835
86	99.708	11.814	11.833	0.2283888
87	100.856	11.747	11.774	0.2334646
88	102.017	11.747	11.774	0.2152386
89	103.166	11.714	11.712	0.2209971
90	104.355	11.714	11.712	0.2233481
91	105.582	11.668	11.688	0.2002123
92	106.742	11.668	11.688	0.2100078
93	108.036	11.644	11.684	0.2153862
94	109.394	11.644	11.684	0.2136811
95	110.631	11.642	11.678	0.1880886
96	111.808	11.642	11.678	0.1612042
97	112.97	11.57	11.635	0.1735312
98	114.119	11.57	11.635	0.08126473
99	115.283	11.519	11.549	0.1181106
100	116.444	11.519	11.549	0.1126891
101	117.599	11.501	11.555	0.03320774
102	118.752	11.501	11.555	0.09216578
103	119.902	11.489	11.489	0.0274172
104	121.051	11.489	11.489	0.03054678
105	122.2	11.461	11.485	0.05388649
106	123.349	11.461	11.485	0.007074969
107	124.5	11.423	11.466	0.0293023
108	125.651	11.423	11.466	0.01054416
109	126.801	11.396	11.432	0.006282616
110	127.952	11.396	11.432	0.006936976
111	129.112	11.356	11.392	0.003559082
112	130.267	11.356	11.392	0.003823506
113	131.416	11.315	11.321	0.003660833
114	132.586	11.315	11.321	0.003303651
115	133.736	11.285	11.296	0.003510885
116	134.899	11.285	11.296	0.003240259
117	136.05	11.234	11.278	0.003203005
118	137.206	11.234	11.278	0.003209966
119	138.368	11.133	11.195	0.003166003
120	139.527	11.133	11.195	0.003173388
121	140.687	11.08	11.117	0.003169401
122	141.906	11.054	11.117	0.003159641
123	143.073	11.054	11.117	0.003157775
124	144.223	10.755	10.893	0.003157942
125	145.376	10.755	10.893	0.003157266
126	146.523	10.434	10.573	0.003157517
127	147.675	10.434	10.573	0.003157774
128	148.823	10.306	10.403	0.003158539
129	149.977	10.306	10.403	0.003157433
130	151.135	10.307	10.315	0.003157689
131	152.3	10.307	10.315	0.003158541
132	153.464	10.287	10.291	0.003157348
133	154.63	10.287	10.291	0.003158792
134	155.794	10.24	10.273	0.003158028
135	156.945	10.24	10.273	0.003157349
136	158.095	10.206	10.227	0.003157856
137	159.26	10.206	10.227	0.003157264
138	160.412	10.191	10.241	0.003158621
139	161.562	10.191	10.241	0.003157094
140	162.713	10.185	10.186	0.00315667
141	163.872	10.185	10.186	0.003157856
142	165.04	10.235	10.247	0.003157265
143	166.196	10.235	10.247	0.003156502
144	167.359	10.302	10.33	0.0031571
145	168.508	10.302	10.33	0.003157265
146	169.688	10.397	10.325	0.00315582
147	170.853	10.397	10.325	0.003157689
148	172.011	10.503	10.517	0.003156925
149	173.159	10.503	10.517	0.003156924
150	174.324	10.572	10.575	0.003158283
151	175.476	10.572	10.575	0.003157522
152	176.639	10.631	10.629	0.003156924
153	177.788	10.631	10.629	0.003156756
154	178.953	10.768	10.788	0.003157436
155	180.112	10.768	10.788	0.003157009
156	181.263	10.87	10.809	0.00315718
157	182.414	10.87	10.809	0.003158111
158	183.577	10.94	10.925	0.003161169
159	184.736	10.94	10.925	0.003158705
160	185.897	11.037	11.009	0.003161508
161	187.047	11.037	11.009	0.003162015
162	188.213	11.085	11.082	0.003165326
163	189.362	11.085	11.082	0.003187136
164	190.527	11.124	11.148	0.003169314
165	191.674	11.124	11.148	0.003212594
166	192.855	11.193	11.209	0.00335864
167	194.031	11.193	11.209	0.003278616
168	195.192	11.29	11.228	0.003902855
169	196.372	11.29	11.228	0.004124848
170	197.525	11.351	11.332	0.003928142
171	198.675	11.351	11.332	0.008202843
172	199.837	11.379	11.361	0.004583524
173	200.991	11.379	11.361	0.008803499
174	202.145	11.392	11.4	0.0225173
175	203.308	11.392	11.4	0.006734413
176	204.475	11.414	11.444	0.04153086
177	205.627	11.414	11.444	0.02633164
178	206.803	11.447	11.476	0.05437938
179	207.962	11.447	11.476	0.1519995
180	209.113	11.54	11.537	0.1118943
181	210.293	11.54	11.537	0.164263
182	211.456	11.591	11.557	0.1921484
183	212.62	11.591	11.557	0.1602867
184	213.767	11.618	11.601	0.2030571
185	214.918	11.618	11.601	0.1972695
186	216.073	11.66	11.64	0.1976378
187	217.39	11.66	11.64	0.2218483
188	218.552	11.708	11.686	0.230545
189	219.72	11.708	11.686	0.226256
190	220.877	11.759	11.773	0.2394086
191	222.031	11.759	11.773	0.2362441
192	223.195	11.791	11.81	0.2396543
