# 2pts measurement, sourcing 1mA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.09	3.355	3.41	0.003153869
1	1.336	3.355	3.41	0.003153529
2	2.49	3.351	3.401	0.003153865
3	3.64	3.351	3.401	0.003154378
4	4.788	3.345	3.384	0.003153529
5	5.938	3.345	3.384	0.003152851
6	7.103	3.334	3.38	0.003152681
7	8.267	3.334	3.38	0.003153018
8	9.448	3.322	3.379	0.003154378
9	10.61	3.322	3.379	0.003153189
10	11.769	4.067	3.368	0.003153443
11	12.919	4.067	3.368	0.003154547
12	14.081	5.579	4.766	0.003155139
13	15.232	5.579	4.766	0.003156838
14	16.38	7.437	6.413	0.003157179
15	17.564	7.437	6.413	0.003157095
16	18.717	8.794	7.969	0.00315803
17	19.868	8.794	7.969	0.003159213
18	21.023	9.598	9.102	0.003156837
19	22.175	9.598	9.102	0.00315913
20	23.339	10.309	10.226	0.003158619
21	24.521	10.309	10.226	0.00315828
22	25.671	10.706	10.481	0.003158876
23	26.905	10.946	10.939	0.003159639
24	28.061	10.946	10.939	0.003161506
25	29.214	11.092	11.075	0.003162355
26	30.366	11.092	11.075	0.003161505
27	31.52	11.151	11.116	0.003172199
28	32.691	11.151	11.116	0.00316507
29	33.856	11.167	11.153	0.003170329
30	35.029	11.167	11.153	0.003176357
31	36.181	11.173	11.17	0.003164816
32	37.332	11.173	11.17	0.003175594
33	38.483	11.146	11.173	0.00316388
34	39.644	11.146	11.173	0.003163965
35	40.806	11.107	11.13	0.003170584
36	41.97	11.107	11.13	0.003160911
37	43.123	11.087	11.109	0.003164476
38	44.284	11.087	11.109	0.003169992
39	45.435	11.121	11.103	0.003165663
40	46.598	11.121	11.103	0.00318433
41	47.789	11.163	11.145	0.003172453
42	48.953	11.163	11.145	0.003174232
43	50.116	11.181	11.187	0.003213694
44	51.284	11.181	11.187	0.003176187
45	52.436	11.178	11.167	0.003204446
46	53.599	11.178	11.167	0.003233466
47	54.76	11.182	11.204	0.003189595
48	55.928	11.182	11.204	0.003327409
49	57.087	11.238	11.22	0.003332839
50	58.255	11.238	11.22	0.003369075
51	59.417	11.307	11.279	0.004242466
52	60.579	11.307	11.279	0.003564001
53	61.736	11.35	11.342	0.004376885
54	62.903	11.35	11.342	0.006388092
55	64.057	11.362	11.383	0.004032349
56	65.224	11.362	11.383	0.008426878
57	66.376	11.368	11.366	0.006324611
58	67.537	11.368	11.366	0.006245441
59	68.71	11.417	11.396	0.02432715
60	69.874	11.417	11.396	0.006281589
61	71.027	11.425	11.408	0.01890008
62	72.177	11.425	11.408	0.04867037
63	73.34	11.463	11.446	0.01247051
