# 2pts measurement, sourcing 1mA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.09	18.631	18.391	0.5685084
1	1.302	18.631	18.391	0.5685061
2	2.453	18.936	18.948	0.5684831
3	3.611	18.936	18.948	0.5684672
4	4.758	19.264	19.279	0.5684534
5	5.905	19.264	19.279	0.5684196
6	7.058	19.633	19.589	0.5684287
7	8.215	19.633	19.589	0.5685037
8	9.365	18.855	19.669	0.568514
9	10.524	18.855	19.669	0.568428
10	11.669	17.925	18.171	0.5682679
11	12.834	17.925	18.171	0.5680936
12	13.996	17.159	17.354	0.5678467
13	15.157	17.159	17.354	0.567546
14	16.304	16.477	16.716	0.5671461
15	17.464	16.477	16.716	0.5666311
16	18.626	15.786	16.004	0.5661106
17	19.802	15.786	16.004	0.5654672
18	20.961	15.136	15.683	0.5644199
19	22.124	15.136	15.683	0.563433
20	23.287	14.474	14.671	0.5622563
21	24.446	14.474	14.671	0.560133
22	25.595	13.757	13.999	0.5583707
23	26.77	13.757	13.999	0.5561081
24	27.916	13.202	13.329	0.5532269
25	29.075	13.202	13.329	0.5502049
26	30.225	12.646	12.784	0.544464
27	31.388	12.646	12.784	0.5384189
28	32.553	12.022	12.107	0.5333412
29	33.715	12.022	12.107	0.5226774
30	34.867	11.511	11.881	0.5141353
31	36.031	11.511	11.881	0.5012407
32	37.195	11.164	11.282	0.468184
33	38.348	11.164	11.282	0.4548805
34	39.499	10.903	10.843	0.4017072
35	40.662	10.903	10.843	0.2997027
36	41.837	10.654	10.662	0.2636458
37	43.055	10.654	10.662	0.06599851
38	44.206	10.499	10.525	0.01455472
39	45.361	10.499	10.525	0.01296051
40	46.507	10.355	10.397	0.004738315
41	47.682	10.355	10.397	0.004464295
42	48.829	10.227	10.266	0.003891486
43	49.98	10.227	10.266	0.003173899
44	51.145	10.128	10.148	0.003191718
45	52.295	10.128	10.148	0.002996878
46	53.456	10.046	10.054	0.002949782
47	54.605	10.046	10.054	0.002944435
48	55.764	9.962	9.977	0.002909811
49	56.917	9.962	9.977	0.002910408
50	58.066	9.865	9.897	0.002905057
51	59.224	9.865	9.897	0.00290039
52	60.371	9.769	9.804	0.00290124
53	61.519	9.769	9.804	0.002897846
54	62.678	9.697	9.72	0.002898017
55	63.827	9.697	9.72	0.002899373
56	64.973	9.694	9.708	0.002898865
57	66.127	9.694	9.708	0.002898526
58	67.282	9.678	9.69	0.002897251
59	68.432	9.678	9.69	0.002897933
60	69.578	9.652	9.671	0.002899543
61	70.723	9.652	9.671	0.002897081
62	71.872	9.615	9.643	0.002898445
63	73.057	9.615	9.643	0.002898441
64	74.219	9.665	9.659	0.002899543
65	75.371	9.665	9.659	0.002899884
66	76.517	9.722	9.714	0.002899288
67	77.665	9.722	9.714	0.002899712
68	78.812	9.739	9.745	0.002900138
69	79.96	9.739	9.745	0.002898187
70	81.109	9.742	9.771	0.002900816
71	82.257	9.742	9.771	0.002899456
72	83.406	9.756	9.789	0.002900816
73	84.549	9.756	9.789	0.002907351
74	85.696	9.892	9.9	0.002904891
75	86.841	9.892	9.9	0.002914394
76	87.993	9.967	9.956	0.002911508
77	89.142	9.967	9.956	0.002915243
78	90.289	9.996	9.982	0.002929074
79	91.472	9.996	9.982	0.002912695
80	92.623	10.003	10.011	0.002927465
81	93.774	10.003	10.011	0.002950715
82	94.925	10.024	10.043	0.002986105
83	96.078	10.024	10.043	0.003259693
84	97.261	10.165	10.186	0.003214128
85	98.411	10.165	10.186	0.00342704
86	99.559	10.245	10.252	0.004033115
87	100.71	10.245	10.252	0.003476344
88	101.86	10.292	10.276	0.00444232
89	103.014	10.292	10.276	0.004251636
90	104.163	10.311	10.298	0.004240434
91	105.312	10.311	10.298	0.00578584
92	106.466	10.316	10.33	0.004149215
93	107.615	10.316	10.33	0.00565066
94	108.767	10.36	10.364	0.005882666
95	109.92	10.36	10.364	0.004828947
96	111.073	10.357	10.385	0.007292723
97	112.222	10.357	10.385	0.004943253
98	113.376	10.352	10.381	0.006292377
99	114.525	10.352	10.381	0.007757762
100	115.676	10.362	10.373	0.005175432
101	116.823	10.362	10.373	0.008325145
102	117.972	10.384	10.376	0.006825475
103	119.123	10.384	10.376	0.01061953
104	120.273	10.446	10.416	0.02377701
105	121.441	10.446	10.416	0.01149989
106	122.591	10.485	10.49	0.03255562
107	123.817	10.493	10.521	0.0479469
108	124.967	10.493	10.521	0.01852842
109	126.116	10.501	10.524	0.06708793
110	127.264	10.501	10.524	0.0329499
111	128.413	10.523	10.524	0.04615606
112	129.621	10.523	10.524	0.1055441
113	130.774	10.566	10.538	0.06786355
114	131.924	10.566	10.538	0.1898178
115	133.203	10.638	10.621	0.2653998
116	134.567	10.638	10.621	0.2881839
117	135.713	10.66	10.675	0.2011454
118	136.861	10.66	10.675	0.3034675
119	138.012	10.666	10.695	0.2819248
120	139.241	10.666	10.695	0.05812691
121	140.39	10.565	10.695	0.008271351
122	141.567	10.565	10.695	0.003517165
123	142.745	10.234	10.264	0.003063917
124	143.89	10.234	10.264	0.0030517
125	145.042	10.086	10.115	0.002929583
126	146.191	10.086	10.115	0.002928821
127	147.34	10.002	10.013	0.002918721
128	148.487	10.002	10.013	0.002897167
129	149.64	9.574	9.602	0.002894196
130	150.794	9.574	9.602	0.00289462
131	151.955	8.07	8.094	0.002894452
132	153.103	8.07	8.094	0.002896233
133	154.255	7.206	7.573	0.00289411
134	155.403	7.206	7.573	0.0028953
