# 4pts measurement, sourcing 50 µA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.109	3.106	3.185	1.444917e-05
1	1.255	3.106	3.185	1.412912e-05
2	2.408	3.178	3.208	1.411728e-05
3	3.556	3.178	3.208	1.416471e-05
4	4.7	3.363	3.377	1.412913e-05
5	5.853	3.363	3.377	1.405802e-05
6	7.005	3.575	3.592	1.449659e-05
7	8.153	3.575	3.592	1.444919e-05
8	9.3	3.74	3.769	1.469807e-05
9	10.448	3.74	3.769	1.46388e-05
10	11.598	3.866	3.907	1.46388e-05
11	12.748	3.866	3.907	1.443725e-05
12	13.899	3.969	4.01	1.468627e-05
13	15.048	3.969	4.01	1.401055e-05
14	16.192	4.05	4.085	1.438992e-05
15	17.338	4.05	4.085	1.438992e-05
16	18.481	4.11	4.14	1.443732e-05
17	19.621	4.11	4.14	1.465069e-05
18	20.766	4.156	4.19	1.44966e-05
19	21.91	4.156	4.19	1.416464e-05
20	23.057	4.191	4.229	1.520776e-05
21	24.206	4.191	4.229	1.434245e-05
22	25.35	4.211	4.255	1.466258e-05
23	26.495	4.211	4.255	1.424764e-05
24	27.642	4.223	4.269	1.404611e-05
25	28.787	4.223	4.269	1.43662e-05
26	29.932	4.236	4.28	1.4627e-05
27	31.081	4.236	4.28	1.424761e-05
28	32.226	4.254	4.296	1.440173e-05
29	33.371	4.254	4.296	1.431876e-05
30	34.51	4.275	4.317	1.401055e-05
31	35.653	4.275	4.317	1.421204e-05
32	36.798	4.291	4.337	1.441361e-05
33	37.944	4.291	4.337	1.421208e-05
34	39.091	4.3	4.347	1.532635e-05
35	40.235	4.3	4.347	1.420021e-05
36	41.383	4.311	4.355	1.442546e-05
37	42.535	4.311	4.355	1.465066e-05
38	43.682	4.33	4.371	1.537376e-05
39	44.833	4.33	4.371	1.420022e-05
40	45.982	4.352	4.393	1.43069e-05
41	47.131	4.352	4.393	1.46981e-05
42	48.279	4.359	4.417	1.476921e-05
43	49.432	4.359	4.417	1.45914e-05
44	50.606	4.385	4.43	1.431868e-05
45	51.753	4.385	4.43	1.424761e-05
46	52.902	4.398	4.442	1.430691e-05
47	54.053	4.398	4.442	1.486403e-05
48	55.201	4.417	4.458	1.440172e-05
49	56.347	4.417	4.458	1.429505e-05
50	57.498	4.443	4.484	1.498254e-05
51	58.644	4.443	4.484	1.412908e-05
52	59.787	4.468	4.511	1.466252e-05
