# 4pts measurement, sourcing 25 µA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.111	3.1	3.168	1.550337e-05
1	1.27	3.1	3.168	1.486326e-05
2	2.416	3.105	3.172	1.57286e-05
3	3.569	3.105	3.172	1.551522e-05
4	4.715	3.33	3.315	1.515955e-05
5	5.861	3.33	3.315	1.564563e-05
6	7.003	3.542	3.537	1.565749e-05
7	8.148	3.542	3.537	1.549155e-05
8	9.294	3.714	3.719	1.504106e-05
9	10.441	3.714	3.719	1.540854e-05
10	11.584	3.834	3.847	1.539668e-05
11	12.727	3.834	3.847	1.543224e-05
12	13.869	3.943	3.959	1.547966e-05
13	15.01	3.943	3.959	1.511216e-05
14	16.151	4.03	4.053	1.575228e-05
15	17.289	4.03	4.053	1.538483e-05
16	18.424	4.09	4.123	1.551514e-05
17	19.564	4.09	4.123	1.517145e-05
18	20.703	4.141	4.189	1.544411e-05
19	21.848	4.141	4.189	1.507658e-05
20	22.992	4.176	4.225	1.606041e-05
21	24.137	4.176	4.225	1.543223e-05
22	25.282	4.2	4.249	1.553892e-05
23	26.425	4.2	4.249	1.543222e-05
24	27.569	4.215	4.263	1.505291e-05
25	28.712	4.215	4.263	1.615533e-05
26	29.86	4.231	4.279	1.495809e-05
27	31.01	4.231	4.279	1.485141e-05
28	32.159	4.251	4.299	1.632128e-05
29	33.306	4.251	4.299	1.602495e-05
30	34.452	4.27	4.319	1.527806e-05
31	35.599	4.27	4.319	1.553891e-05
32	36.75	4.283	4.333	1.546781e-05
33	37.897	4.283	4.333	1.491065e-05
34	39.049	4.293	4.343	1.491065e-05
35	40.195	4.293	4.343	1.488696e-05
36	41.346	4.309	4.358	1.607232e-05
37	42.492	4.309	4.358	1.499366e-05
38	43.643	4.33	4.379	1.57997e-05
39	44.795	4.33	4.379	1.539663e-05
40	45.944	4.352	4.402	1.549148e-05
41	47.106	4.352	4.402	1.570486e-05
42	48.254	4.37	4.421	1.511219e-05
43	49.402	4.37	4.421	1.561002e-05
44	50.549	4.382	4.432	1.570485e-05
45	51.698	4.382	4.432	1.555077e-05
46	52.845	4.396	4.445	1.568114e-05
47	53.995	4.396	4.445	1.542038e-05
48	55.143	4.416	4.465	1.520701e-05
49	56.296	4.416	4.465	1.46973e-05
50	57.447	4.444	4.494	1.521887e-05
51	58.596	4.444	4.494	1.498176e-05
52	59.747	4.465	4.516	1.496993e-05
53	60.893	4.465	4.516	1.539667e-05
54	62.044	4.479	4.53	1.512404e-05
55	63.205	4.479	4.53	1.533739e-05
56	64.356	4.492	4.542	1.526625e-05
57	65.51	4.492	4.542	1.540852e-05
58	66.66	4.514	4.563	1.496993e-05
59	67.811	4.514	4.563	1.462619e-05
60	68.965	4.54	4.588	1.518329e-05
61	70.135	4.54	4.588	1.50766e-05
62	71.284	4.56	4.609	1.533739e-05
63	72.432	4.56	4.609	1.577599e-05
64	73.586	4.572	4.622	1.527809e-05
65	74.734	4.572	4.622	1.528998e-05
66	75.879	4.598	4.634	1.539668e-05
67	77.026	4.598	4.634	1.491066e-05
68	78.175	4.62	4.653	1.534927e-05
69	79.326	4.62	4.653	1.494621e-05
70	80.479	4.635	4.68	1.532555e-05
71	81.624	4.635	4.68	1.486321e-05
72	82.774	4.651	4.707	1.538476e-05
73	83.937	4.651	4.707	1.519515e-05
74	85.095	4.676	4.727	1.539663e-05
75	86.244	4.676	4.727	1.485134e-05
76	87.398	4.703	4.74	1.572854e-05
77	88.688	4.703	4.74	1.513587e-05
78	89.862	4.724	4.754	1.540849e-05
79	91.078	4.738	4.777	1.57167e-05
80	92.225	4.738	4.777	1.556263e-05
81	93.383	4.751	4.803	1.603679e-05
82	94.534	4.751	4.803	1.58234e-05
83	95.685	4.772	4.825	1.519514e-05
84	96.834	4.772	4.825	1.565742e-05
85	97.985	4.798	4.839	1.467358e-05
86	99.138	4.798	4.839	1.542035e-05
87	100.286	4.822	4.851	1.559818e-05
88	101.438	4.822	4.851	1.526626e-05
89	102.585	4.838	4.871	1.527809e-05
90	103.733	4.838	4.871	1.505286e-05
91	104.881	4.851	4.897	1.525439e-05
92	106.025	4.851	4.897	1.513587e-05
93	107.19	4.868	4.921	1.537294e-05
94	108.341	4.868	4.921	1.527813e-05
95	109.489	4.892	4.937	1.500546e-05
96	110.64	4.892	4.937	1.575225e-05
97	111.788	4.918	4.948	1.534921e-05
98	112.937	4.918	4.948	1.45669e-05
99	114.101	4.924	4.966	1.524256e-05
100	115.251	4.924	4.966	1.549137e-05
101	116.399	4.95	4.99	1.515955e-05
102	117.548	4.95	4.99	1.523068e-05
103	118.699	4.964	5.015	1.524254e-05
104	119.854	4.964	5.015	1.511213e-05
105	121.005	4.988	5.034	1.468542e-05
106	122.154	4.988	5.034	1.513586e-05
107	123.304	5.014	5.046	1.491061e-05
108	124.452	5.014	5.046	1.487508e-05
109	125.599	5.036	5.061	1.553889e-05
110	126.748	5.036	5.061	1.539663e-05
111	127.903	5.048	5.08	1.593006e-05
112	129.056	5.048	5.08	1.500544e-05
113	130.219	5.065	5.1	1.552702e-05
114	131.366	5.065	5.1	1.512401e-05
115	132.514	5.077	5.114	1.531365e-05
116	133.663	5.077	5.114	1.552702e-05
117	134.815	5.091	5.126	1.512399e-05
118	135.967	5.091	5.126	1.544407e-05
119	137.115	5.108	5.142	1.564554e-05
120	138.266	5.108	5.142	1.513585e-05
121	139.416	5.132	5.161	1.525435e-05
122	140.57	5.132	5.161	1.500548e-05
123	141.72	5.16	5.189	1.530179e-05
124	142.874	5.16	5.189	1.501727e-05
125	144.03	5.184	5.216	1.515954e-05
126	145.172	5.184	5.216	1.502917e-05
127	146.314	5.198	5.234	1.559812e-05
128	147.46	5.198	5.234	1.531366e-05
129	148.605	5.213	5.244	1.544404e-05
130	149.749	5.213	5.244	1.521881e-05
131	150.891	5.238	5.265	1.483948e-05
132	152.035	5.238	5.265	1.485134e-05
133	153.181	5.266	5.294	1.486314e-05
134	154.329	5.266	5.294	1.521881e-05
135	155.473	5.291	5.322	1.523063e-05
136	156.616	5.291	5.322	1.512401e-05
