# 4pts measurement, sourcing 100 µA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.109	3.125	3.188	1.47738e-05
1	1.256	3.125	3.188	1.41336e-05
2	2.401	3.125	3.188	1.412176e-05
3	3.544	3.304	3.184	1.450111e-05
4	4.721	3.304	3.184	1.479745e-05
5	5.869	3.504	3.495	1.485676e-05
6	7.015	3.504	3.495	1.402691e-05
7	8.159	3.657	3.647	1.437066e-05
8	9.298	3.657	3.647	1.409802e-05
9	10.441	3.803	3.802	1.438251e-05
10	11.586	3.803	3.802	1.420469e-05
11	12.729	3.914	3.921	1.45603e-05
12	13.879	3.914	3.921	1.445366e-05
13	15.028	3.997	4.01	1.470259e-05
14	16.165	3.997	4.01	1.512936e-05
15	17.304	4.064	4.079	1.435874e-05
16	18.444	4.064	4.079	1.482113e-05
17	19.583	4.118	4.139	1.440616e-05
18	20.729	4.118	4.139	1.467884e-05
19	21.872	4.164	4.188	1.440618e-05
20	23.014	4.164	4.188	1.38371e-05
21	24.158	4.193	4.223	1.450098e-05
22	25.299	4.193	4.223	1.508187e-05
23	26.442	4.209	4.241	1.47855e-05
24	27.586	4.209	4.241	1.490405e-05
25	28.733	4.223	4.254	1.504631e-05
26	29.88	4.223	4.254	1.472616e-05
27	31.021	4.242	4.272	1.529522e-05
28	32.168	4.242	4.272	1.47262e-05
29	33.314	4.262	4.293	1.486846e-05
30	34.462	4.262	4.293	1.523596e-05
31	35.605	4.276	4.311	1.517669e-05
32	36.747	4.276	4.311	1.490401e-05
33	37.893	4.284	4.32	1.414531e-05
34	39.036	4.284	4.32	1.451279e-05
35	40.18	4.294	4.327	1.429934e-05
36	41.323	4.294	4.327	1.488029e-05
37	42.465	4.313	4.346	1.433496e-05
38	43.609	4.313	4.346	1.471432e-05
39	44.766	4.336	4.365	1.466688e-05
40	45.923	4.336	4.365	1.479728e-05
41	47.073	4.357	4.39	1.437051e-05
42	48.225	4.357	4.39	1.427563e-05
43	49.373	4.372	4.406	1.536624e-05
44	50.52	4.372	4.406	1.51055e-05
45	51.67	4.386	4.419	1.515284e-05
46	52.819	4.386	4.419	1.48328e-05
47	53.967	4.407	4.435	1.450087e-05
48	55.111	4.407	4.435	1.402668e-05
49	56.258	4.431	4.47	1.485649e-05
50	57.401	4.431	4.47	1.456014e-05
51	58.551	4.448	4.485	1.425186e-05
52	59.702	4.448	4.485	1.474978e-05
53	60.848	4.472	4.51	1.441784e-05
54	61.997	4.472	4.51	1.416888e-05
55	63.145	4.499	4.537	1.496318e-05
56	64.291	4.499	4.537	1.491571e-05
57	65.441	4.506	4.558	1.493945e-05
58	66.593	4.506	4.558	1.480903e-05
59	67.744	4.533	4.571	1.432299e-05
60	68.894	4.533	4.571	1.415701e-05
61	70.043	4.55	4.586	1.447706e-05
62	71.195	4.55	4.586	1.488013e-05
63	72.34	4.571	4.606	1.471418e-05
64	73.49	4.571	4.606	1.483273e-05
65	74.638	4.595	4.631	1.465486e-05
66	75.806	4.595	4.631	1.518833e-05
67	76.953	4.617	4.654	1.406216e-05
