# 2pts measurement, sourcing 1mA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.113	3.156	3.226	0.02492847
1	1.258	3.161	3.22	0.02505718
2	2.415	3.161	3.22	0.02495115
3	3.566	3.164	3.219	0.02499505
4	4.722	3.164	3.219	0.02475577
5	5.878	3.198	3.251	0.02491114
6	7.031	3.198	3.251	0.02507
7	8.181	3.282	3.334	0.02505632
8	9.325	3.282	3.334	0.02506824
9	10.475	3.41	3.453	0.02512104
10	11.62	3.41	3.453	0.02527935
11	12.766	3.582	3.606	0.02540342
12	13.919	3.582	3.606	0.02545493
13	15.071	3.746	3.693	0.02551139
14	16.219	3.746	3.693	0.02559233
15	17.363	3.905	3.927	0.02565175
16	18.509	3.905	3.927	0.02571193
17	19.655	4.054	4.079	0.02578607
18	20.798	4.054	4.079	0.0258682
19	21.942	4.237	4.259	0.02597201
20	23.086	4.237	4.259	0.0260617
21	24.231	4.431	4.442	0.02617922
22	25.376	4.431	4.442	0.0262685
23	26.523	4.633	4.632	0.02639317
24	27.671	4.633	4.632	0.02652164
25	28.821	4.858	4.74	0.02660812
26	29.975	4.858	4.74	0.02674822
27	31.126	5.05	4.93	0.02685683
28	32.271	5.05	4.93	0.02697047
29	33.415	5.179	5.175	0.02708173
30	34.563	5.179	5.175	0.02723777
31	35.709	5.317	5.219	0.02745197
32	36.856	5.317	5.219	0.02777198
33	38.004	5.482	5.449	0.02800974
34	39.15	5.482	5.449	0.02818228
35	40.294	5.657	5.624	0.02836396
36	41.439	5.657	5.624	0.02855651
37	42.583	5.852	5.726	0.02872977
38	43.728	5.852	5.726	0.02893898
39	44.866	6.048	6.006	0.02919109
40	46.009	6.048	6.006	0.02948668
41	47.151	6.244	6.213	0.02998887
42	48.297	6.244	6.213	0.03031878
43	49.474	6.427	6.388	0.03071639
44	50.622	6.427	6.388	0.03112082
45	51.767	6.634	6.492	0.03153792
46	52.917	6.634	6.492	0.03193406
47	54.062	6.827	6.783	0.03230159
48	55.209	6.827	6.783	0.03280268
49	56.357	7.034	6.982	0.03320152
50	57.499	7.034	6.982	0.0336242
51	58.645	7.183	7.205	0.03409237
52	59.79	7.183	7.205	0.0346841
53	60.936	7.387	7.393	0.03509773
54	62.077	7.387	7.393	0.03545879
55	63.217	7.563	7.548	0.03579937
56	64.36	7.563	7.548	0.03613458
57	65.5	7.707	7.681	0.03641367
58	66.641	7.707	7.681	0.03673341
59	67.781	7.831	7.806	0.03705315
60	68.92	7.831	7.806	0.03737358
61	70.062	7.909	7.926	0.03770525
62	71.205	7.909	7.926	0.03802043
63	72.35	8.026	8.026	0.03850431
64	73.495	8.026	8.026	0.03896546
65	74.637	8.085	8.091	0.0393989
66	75.78	8.085	8.091	0.03990152
67	76.935	8.163	8.139	0.0403853
68	78.087	8.163	8.139	0.04121007
69	79.238	8.197	8.222	0.04238584
70	80.387	8.197	8.222	0.04388658
71	81.536	8.226	8.247	0.04609183
72	82.679	8.226	8.247	0.0470497
73	83.819	8.26	8.275	0.04784106
74	84.961	8.26	8.275	0.04847206
75	86.111	8.296	8.31	0.04895375
76	87.258	8.296	8.31	0.04955526
77	88.407	8.319	8.315	0.04990666
78	89.552	8.319	8.315	0.05041287
79	90.699	8.329	8.355	0.05088376
80	91.839	8.329	8.355	0.05122608
81	92.986	8.335	8.359	0.05178758
82	94.138	8.335	8.359	0.0521359
83	95.282	8.35	8.367	0.05262227
84	96.426	8.35	8.367	0.0531297
85	97.568	8.376	8.39	0.05345065
86	98.711	8.376	8.39	0.05408545
87	99.854	8.403	8.421	0.0544434
88	100.999	8.403	8.421	0.05493652
89	102.143	8.411	8.408	0.05538127
90	103.287	8.411	8.408	0.05563823
91	104.429	8.412	8.438	0.05625553
92	105.573	8.412	8.438	0.05663449
93	106.718	8.423	8.443	0.05722154
94	107.861	8.423	8.443	0.05782922
95	109.004	8.449	8.463	0.05819822
96	110.15	8.449	8.463	0.05889335
97	111.296	8.473	8.49	0.05925594
98	112.44	8.473	8.49	0.05982748
99	113.585	8.492	8.516	0.06054183
100	114.729	8.492	8.516	0.06094946
101	115.876	8.501	8.529	0.06186613
102	117.02	8.501	8.529	0.06239627
103	118.165	8.513	8.535	0.06316961
104	119.315	8.513	8.535	0.06406396
105	120.464	8.537	8.553	0.06455656
106	121.613	8.537	8.553	0.06564552
107	122.762	8.568	8.583	0.06638498
108	123.901	8.568	8.583	0.06727169
109	125.041	8.594	8.615	0.06844772
110	126.181	8.594	8.615	0.06918
111	127.326	8.608	8.635	0.07080328
112	128.471	8.608	8.635	0.07194529
113	129.613	8.639	8.644	0.07354404
114	130.755	8.639	8.644	0.07592352
115	131.898	8.66	8.657	0.07764542
116	133.044	8.66	8.657	0.08153538
117	134.184	8.67	8.685	0.08489791
118	135.327	8.67	8.685	0.08977273
119	136.473	8.684	8.7	0.09779359
120	137.617	8.684	8.7	0.104623
121	138.762	8.709	8.743	0.1212263
122	139.907	8.709	8.743	0.1385733
123	141.049	8.736	8.749	0.1721841
124	142.319	8.736	8.749	0.2784359
125	143.465	8.758	8.755	0.7851258
126	144.611	8.758	8.755	0.9651663
127	145.754	8.768	8.778	1.025099
128	146.898	8.768	8.778	1.051153
129	148.042	8.779	8.812	1.071063
130	149.186	8.779	8.812	1.083185
131	150.327	8.802	8.841	1.093062
132	151.472	8.802	8.841	1.102202
133	152.612	8.827	8.849	1.107583
134	153.751	8.827	8.849	1.115761
135	154.899	8.853	8.854	1.121434
136	156.043	8.853	8.854	1.127186
137	157.185	8.866	8.884	1.133551
138	158.33	8.866	8.884	1.137461
139	159.474	8.875	8.901	1.143657
140	160.616	8.875	8.901	1.147953
141	161.759	8.91	8.935	1.152258
142	162.907	8.91	8.935	1.156912
143	164.051	8.921	8.951	1.159517
144	165.196	8.921	8.951	1.1641
145	166.338	8.95	8.956	1.167286
146	167.488	8.95	8.956	1.170561
147	168.641	8.968	8.969	1.174668
148	169.786	8.968	8.969	1.177091
149	170.935	8.978	8.997	1.18103
150	172.078	8.978	8.997	1.183918
151	173.221	8.994	9.032	1.186525
152	174.363	8.994	9.032	1.189995
153	175.508	9.021	9.056	1.191844
154	176.651	9.021	9.056	1.194969
155	177.797	9.051	9.065	1.197114
156	178.945	9.051	9.065	1.199133
157	180.093	9.071	9.079	1.202039
158	181.241	9.071	9.079	1.20374
159	182.383	9.083	9.096	1.206319
160	183.529	9.083	9.096	1.208569
161	184.671	9.118	9.13	1.210332
162	185.816	9.118	9.13	1.212783
163	186.966	9.132	9.157	1.214227
164	188.117	9.132	9.157	1.216444
165	189.266	9.14	9.169	1.218257
166	190.417	9.14	9.169	1.219301
167	191.565	9.152	9.17	1.221236
168	192.712	9.152	9.17	1.22239
169	193.857	9.179	9.187	1.22411
