# 2pts measurement, sourcing 1mA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.09	3.922	3.983	0.002732714
1	1.284	3.924	3.975	0.002733984
2	2.447	3.924	3.975	0.002734577
3	3.612	3.92	3.973	0.002733221
4	4.774	3.92	3.973	0.002734408
5	5.926	3.915	3.976	0.002734153
6	7.09	3.915	3.976	0.002736278
7	8.239	3.906	3.979	0.002732116
8	9.387	3.906	3.979	0.002733051
9	10.535	3.907	3.976	0.002733643
10	11.68	3.907	3.976	0.002735003
11	12.86	3.91	3.967	0.002733475
12	14.025	3.91	3.967	0.002733645
13	15.184	3.911	3.96	0.002733644
14	16.331	3.911	3.96	0.002732031
15	17.482	3.901	3.96	0.00273237
16	18.628	3.901	3.96	0.002734493
17	19.778	3.904	3.963	0.002732118
18	20.98	3.904	3.963	0.002732118
19	22.135	4.055	4.021	0.002732118
20	23.284	4.055	4.021	0.002731778
21	24.444	4.202	4.223	0.002732543
22	25.593	4.202	4.223	0.002731779
23	26.754	4.457	4.422	0.00273212
24	27.899	4.457	4.422	0.002732629
25	29.046	4.633	4.635	0.002733049
26	30.193	4.633	4.635	0.002732371
27	31.361	4.893	4.833	0.002734833
28	32.509	4.893	4.833	0.00273322
29	33.659	5.102	5.087	0.002731946
30	34.828	5.102	5.087	0.002733902
31	35.979	5.231	5.234	0.002733137
32	37.128	5.231	5.234	0.002733306
33	38.274	5.382	5.337	0.002732116
34	39.453	5.382	5.337	0.002731862
35	40.605	5.601	5.579	0.002732287
36	41.764	5.601	5.579	0.002732285
37	42.934	5.742	5.734	0.002732456
38	44.092	5.742	5.734	0.002732541
39	45.239	5.934	5.872	0.002732117
40	46.4	5.934	5.872	0.002732118
41	47.555	6.135	6.003	0.002730673
42	48.711	6.135	6.003	0.002731438
43	49.873	6.262	6.178	0.002733305
44	51.022	6.262	6.178	0.002732117
45	52.169	6.375	6.404	0.002732286
46	53.327	6.375	6.404	0.002731606
47	54.478	6.554	6.584	0.002731353
48	55.624	6.554	6.584	0.002729994
49	56.776	6.706	6.737	0.002733223
50	57.939	6.706	6.737	0.002732542
51	59.089	6.807	6.836	0.002733562
52	60.248	6.807	6.836	0.002731607
53	61.397	6.91	6.934	0.002732118
54	62.559	6.91	6.934	0.002731777
55	63.708	7.104	7.126	0.002732286
56	64.865	7.104	7.126	0.002730419
57	66.017	7.244	7.266	0.002730338
58	67.182	7.244	7.266	0.002732202
59	68.332	7.429	7.455	0.002729484
60	69.495	7.429	7.455	0.002730587
61	70.661	7.595	7.624	0.002731864
62	71.866	7.691	7.718	0.002730928
