# 2pts measurement, sourcing 1mA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.09	293.702	293.809	0.006191962
1	1.282	293.702	293.809	0.006192564
2	2.681	293.698	293.82	0.006192131
3	3.841	293.698	293.82	0.006192814
4	4.988	293.694	293.808	0.006192469
5	6.139	293.694	293.808	0.006192127
6	7.287	293.689	293.811	0.006191875
7	8.438	293.689	293.811	0.006193827
8	9.605	293.684	293.805	0.006191953
9	10.769	293.684	293.805	0.006191796
10	11.933	293.681	293.809	0.006191785
11	13.098	293.681	293.809	0.006192802
12	14.262	293.674	293.789	0.006191188
13	15.413	293.674	293.789	0.006192293
14	16.563	293.669	293.784	0.00619144
15	17.711	293.669	293.784	0.006190247
16	18.875	293.665	293.798	0.006191527
17	20.04	293.665	293.798	0.006192461
18	21.206	293.661	293.802	0.006190759
19	22.371	293.661	293.802	0.006192208
20	23.54	293.656	293.791	0.006191092
21	24.707	293.656	293.791	0.00619067
22	25.9	293.651	293.779	0.006192027
23	27.053	293.651	293.779	0.006190331
24	28.218	293.646	293.777	0.0061916
25	29.379	293.646	293.777	0.00619126
26	30.529	293.641	293.776	0.006191176
27	31.708	293.641	293.776	0.006191172
28	32.872	293.635	293.759	0.006191171
29	34.04	293.635	293.759	0.006191514
30	35.207	293.631	293.751	0.006191421
31	36.371	293.631	293.751	0.006192099
32	37.537	293.625	293.768	0.006192437
33	38.702	293.625	293.768	0.006191927
34	39.868	293.621	293.746	0.00619168
35	41.036	293.621	293.746	0.006190237
36	42.202	293.615	293.733	0.006190568
37	43.354	293.615	293.733	0.006190407
38	44.504	293.612	293.748	0.006192012
39	45.669	293.612	293.748	0.006189888
40	46.833	293.606	293.741	0.006189548
41	47.986	293.606	293.741	0.006191241
42	49.133	293.6	293.746	0.006190476
43	50.281	293.6	293.746	0.006191244
44	51.431	293.593	293.731	0.006190738
45	52.579	293.593	293.731	0.006189883
46	53.729	293.588	293.731	0.006190477
47	54.883	293.588	293.731	0.006189026
48	56.036	293.583	293.727	0.006189535
49	57.184	293.583	293.727	0.006191832
50	58.332	293.579	293.723	0.00619064
51	59.586	293.572	293.725	0.006190475
52	60.743	293.572	293.725	0.00618903
53	61.924	293.566	293.707	0.0061903
54	63.076	293.566	293.707	0.006189203
55	64.224	293.561	293.703	0.006189707
56	65.379	293.561	293.703	0.006188169
57	66.545	293.554	293.697	0.006188936
58	67.696	293.554	293.697	0.006190468
59	68.862	293.549	293.69	0.006190041
60	70.014	293.549	293.69	0.006188936
61	71.177	293.544	293.682	0.006189103
62	72.343	293.544	293.682	0.006191146
63	73.51	293.539	293.671	0.006186557
64	74.662	293.539	293.671	0.006188255
65	75.824	293.533	293.673	0.006190716
66	76.989	293.533	293.673	0.006188163
67	78.155	293.528	293.667	0.006188927
68	79.322	293.528	293.667	0.006188848
69	80.494	293.52	293.657	0.006187146
70	81.663	293.52	293.657	0.006187229
71	82.829	293.515	293.668	0.006186713
72	83.994	293.515	293.668	0.006187483
73	85.161	293.506	293.656	0.006188503
74	86.327	293.506	293.656	0.006186806
75	87.496	293.501	293.655	0.006186889
76	88.664	293.501	293.655	0.006188583
77	89.859	293.495	293.657	0.006187815
78	91.028	293.495	293.657	0.00618748
79	92.194	293.489	293.641	0.006187222
80	93.36	293.489	293.641	0.006187731
81	94.527	293.482	293.642	0.0061879
82	95.688	293.482	293.642	0.0061879
83	96.853	293.477	293.643	0.006187217
84	98.022	293.477	293.643	0.006188408
85	99.185	293.469	293.621	0.006185005
86	100.334	293.469	293.621	0.006186707
87	101.485	293.464	293.623	0.006186196
88	102.638	293.464	293.623	0.006188745
89	103.8	293.456	293.61	0.00618687
90	104.951	293.456	293.61	0.006187217
91	106.102	293.45	293.604	0.00618679
92	107.252	293.45	293.604	0.00618611
93	108.417	293.442	293.595	0.006186445
94	109.563	293.442	293.595	0.006187637
95	110.717	293.435	293.595	0.006188314
96	111.871	293.435	293.595	0.006187633
97	113.015	293.429	293.593	0.006187294
98	114.162	293.429	293.593	0.006187294
99	115.316	293.422	293.589	0.00618687
100	116.464	293.422	293.589	0.006187883
101	117.613	293.416	293.597	0.006187295
102	118.761	293.416	293.597	0.006185588
103	119.916	293.409	293.572	0.006188732
104	121.07	293.409	293.572	0.006187121
105	122.222	293.401	293.581	0.006187117
106	123.371	293.401	293.581	0.006186614
107	124.524	293.394	293.556	0.006187545
108	125.674	293.394	293.556	0.006187888
109	126.826	293.387	293.559	0.006188053
110	127.98	293.387	293.559	0.00618686
111	129.131	293.381	293.555	0.006186523
112	130.284	293.381	293.555	0.006186434
113	131.437	293.374	293.558	0.006188134
114	132.588	293.374	293.558	0.00618695
115	133.738	293.367	293.557	0.00618737
116	134.921	293.367	293.557	0.006185074
117	136.073	293.36	293.536	0.006188305
118	137.227	293.36	293.536	0.006187201
119	138.377	293.351	293.527	0.006188641
120	139.529	293.351	293.527	0.006187368
121	140.683	293.344	293.509	0.006188809
122	141.831	293.344	293.509	0.006187956
123	142.982	293.337	293.525	0.006187027
124	144.13	293.337	293.525	0.006186851
125	145.278	293.328	293.515	0.006187701
126	146.431	293.328	293.515	0.006187197
127	147.583	293.321	293.508	0.006187533
128	148.732	293.321	293.508	0.006186848
129	149.92	293.313	293.49	0.006185572
130	151.071	293.313	293.49	0.006186679
131	152.222	293.306	293.494	0.006188208
132	153.386	293.306	293.494	0.006186762
133	154.551	293.299	293.483	0.006185827
134	155.703	293.299	293.483	0.006187444
135	156.854	293.29	293.462	0.006186427
136	158.004	293.29	293.462	0.006186334
137	159.156	293.283	293.451	0.006185825
138	160.318	293.283	293.451	0.006186502
139	161.468	293.275	293.466	0.006184975
140	162.633	293.275	293.466	0.006185655
141	163.784	293.268	293.442	0.006186593
142	164.936	293.268	293.442	0.006186251
143	166.088	293.26	293.451	0.006184976
144	167.252	293.26	293.451	0.006184804
145	168.404	293.252	293.433	0.006186588
146	169.558	293.252	293.433	0.006187352
147	170.708	293.245	293.422	0.00618429
148	171.967	293.236	293.436	0.00618455
149	173.148	293.236	293.436	0.006185142
150	174.299	293.228	293.393	0.006185824
151	175.451	293.228	293.393	0.006184208
152	176.602	293.22	293.409	0.006186077
153	177.749	293.22	293.409	0.006184028
154	178.897	293.212	293.402	0.006186074
155	180.049	293.212	293.402	0.006185818
156	181.201	293.201	293.395	0.006186249
157	182.352	293.201	293.395	0.006185733
158	183.502	293.194	293.396	0.006186579
159	184.653	293.194	293.396	0.006185559
160	185.8	293.186	293.375	0.00618573
161	186.951	293.186	293.375	0.006185729
162	188.102	293.176	293.387	0.00618505
163	189.252	293.176	293.387	0.006184456
164	190.402	293.169	293.353	0.006183861
165	191.552	293.169	293.353	0.006185045
166	192.701	293.159	293.338	0.006183
167	193.854	293.159	293.338	0.006185557
168	195.004	293.151	293.351	0.006185388
169	196.154	293.151	293.351	0.006184368
170	197.315	293.145	293.346	0.00618564
171	198.466	293.145	293.346	0.006184194
172	199.616	293.135	293.339	0.006185215
173	200.763	293.135	293.339	0.006184198
174	201.943	293.126	293.325	0.006183005
175	203.127	293.126	293.325	0.006183599
176	204.279	293.117	293.322	0.006184536
177	205.433	293.117	293.322	0.006184616
178	206.582	293.108	293.312	0.006182661
179	207.733	293.108	293.312	0.006183169
180	208.881	293.099	293.312	0.00618292
181	210.029	293.099	293.312	0.0061836
182	211.18	293.089	293.283	0.006183935
183	212.331	293.089	293.283	0.006183
184	213.478	293.08	293.304	0.006183777
185	214.629	293.08	293.304	0.006183256
186	215.789	293.071	293.282	0.00618317
187	216.941	293.071	293.282	0.006182744
188	218.091	293.063	293.284	0.006183255
189	219.238	293.063	293.284	0.006183168
190	220.402	293.054	293.26	0.006182063
191	221.556	293.054	293.26	0.006182401
192	222.706	293.045	293.259	0.006182398
193	223.889	293.045	293.259	0.006183677
194	225.039	293.035	293.242	0.006183507
195	226.194	293.035	293.242	0.006182913
196	227.346	293.027	293.26	0.006183928
197	228.495	293.027	293.26	0.006183418
198	229.646	293.017	293.248	0.006182994
199	230.8	293.017	293.248	0.006183504
200	231.952	293.008	293.223	0.006183331
201	233.12	293.008	293.223	0.006183158
202	234.273	293.0	293.201	0.006183841
203	235.425	293.0	293.201	0.006183254
204	236.576	292.989	293.226	0.006184778
205	237.741	292.989	293.226	0.006184014
206	238.906	292.981	293.193	0.006184179
207	240.059	292.981	293.193	0.006181972
208	241.213	292.969	293.17	0.006182651
209	242.377	292.969	293.17	0.006183158
210	243.542	292.96	293.166	0.006184518
211	244.697	292.96	293.166	0.00618264
212	245.878	292.95	293.163	0.006182733
213	247.042	292.95	293.163	0.006182984
214	248.194	292.94	293.157	0.006183155
215	249.358	292.94	293.157	0.00618426
216	250.516	292.932	293.182	0.006182902
217	251.681	292.932	293.182	0.006182561
218	252.833	292.921	293.145	0.006181031
219	253.984	292.921	293.145	0.006181373
220	255.136	292.911	293.112	0.006182563
221	256.304	292.911	293.112	0.006182731
222	257.469	292.901	293.119	0.006182048
223	258.635	292.901	293.119	0.006180518
224	259.802	292.892	293.122	0.006181711
225	260.995	292.892	293.122	0.006181116
226	262.163	292.883	293.12	0.006181457
227	263.33	292.883	293.12	0.006181373
228	264.492	292.872	293.116	0.006181451
229	265.657	292.872	293.116	0.006181197
230	266.823	292.862	293.083	0.006181025
231	267.988	292.862	293.083	0.006182218
232	269.157	292.852	293.082	0.006181626
233	270.324	292.852	293.082	0.006180945
234	271.489	292.841	293.066	0.006180351
235	272.656	292.841	293.066	0.00618009
236	273.823	292.831	293.053	0.006179667
237	275.006	292.831	293.053	0.006180435
238	276.204	292.819	293.052	0.006180686
239	277.46	292.808	293.051	0.006178899
240	278.629	292.808	293.051	0.00617856
241	279.795	292.798	293.027	0.006180686
242	280.988	292.798	293.027	0.006180773
243	282.156	292.788	293.043	0.00617941
244	283.321	292.788	293.043	0.006179831
245	284.484	292.779	293.024	0.006181195
246	285.651	292.779	293.024	0.006180344
247	286.831	292.768	293.004	0.006179665
248	287.999	292.768	293.004	0.006179408
249	289.166	292.757	293.004	0.006177538
250	290.33	292.757	293.004	0.006178983
251	291.495	292.746	292.995	0.00617941
252	292.66	292.746	292.995	0.006178223
253	293.826	292.737	292.971	0.006178982
254	294.992	292.737	292.971	0.006179491
255	296.157	292.726	292.987	0.006177964
256	297.322	292.726	292.987	0.006179328
257	298.475	292.715	292.947	0.006176939
258	299.657	292.715	292.947	0.006179492
259	300.822	292.704	292.925	0.006179323
260	301.974	292.704	292.925	0.006177198
261	303.123	292.693	292.93	0.006178812
262	304.276	292.693	292.93	0.006177711
263	305.424	292.683	292.927	0.00617711
264	306.576	292.683	292.927	0.00617703
265	307.726	292.67	292.94	0.006176943
266	308.887	292.67	292.94	0.006177616
267	310.038	292.658	292.907	0.006176764
268	311.186	292.658	292.907	0.006178644
269	312.336	292.649	292.907	0.006176515
270	313.491	292.649	292.907	0.006175407
271	314.65	292.636	292.891	0.006177535
272	315.803	292.636	292.891	0.006177278
273	316.964	292.625	292.889	0.00617711
274	318.148	292.625	292.889	0.00617473
275	319.299	292.616	292.87	0.006174302
276	320.464	292.616	292.87	0.006176251
277	321.615	292.602	292.862	0.006177962
278	322.767	292.602	292.862	0.006176678
279	323.92	292.592	292.868	0.006177106
280	325.074	292.592	292.868	0.006176599
281	326.225	292.58	292.837	0.006176509
282	327.388	292.58	292.837	0.006177107
283	328.55	292.568	292.832	0.006177358
284	329.719	292.568	292.832	0.006175996
285	330.881	292.555	292.834	0.006177194
286	332.046	292.555	292.834	0.006176937
287	333.213	292.546	292.805	0.006176594
288	334.379	292.546	292.805	0.006174471
289	335.548	292.536	292.793	0.006176339
290	336.712	292.536	292.793	0.006176508
291	337.877	292.522	292.79	0.006177186
