SampleID	Start	Ti_Vacuum_Thickness	Base_Pressure	Power	Thickness	Rate	Plasma_Pressure	Flow_1	Flow_2	Mask	Substrate_Temperature	Z_Stage	Rotation
LANB-18(2881)	2026-05-13 16:35:00	0	1.05E-8	74.5	200	0.12	5	20	0	None	30	50	5
3037-162(2871)	2026-03-31 15:30:00	150	4.7E-8	70	80	0.115	5	20	0	Resist	30	50	5
3037-162(2871)	2026-04-02 16:00:00	200	5E-8	70	80	0.12	5	20	0	None	30	50	5
NING-28(2867)	2026-04-09 14:22:00	0	3.2E-08	70	50	1.04	5.5	18	2	Resist	30	50	10
NING-18(2821)	2025-11-14 16:12:00	0	1.2E-8	70	50	0.077	5.5	18.25	1.75	None	30	50	10
NING-17(2820)	2025-11-14 14:08:00	0	1.09E-8	70	50	0.059	5.5	16.5	3.5	None	30	50	10
NING-16(2819)	2025-11-07 15:32:00	0	1.33e-8	70	50	0.072	5.5	17.75	2.25	None	30	50	10
NING-13(2803)	2025-10-21 17:00:00	0	1.46E-8	70	50	0.075	5.5	17	3	None	30	50	0
NING-12(2802)	2025-10-20 15:52:00	0	2E-8	69.8	50	0.117	5.5	19	1	None	30	50	10
NING-11(2801)	2025-10-20 13:53:00	0	1.9E-8	70	50	0.078	5.5	18	2	None	30	50	10
NING-10(2800)	2025-10-18 16:00:00	0	2.3E-8	70.1	40	0.099	5.5	19	1	None	30	50	10
NING-9(2799)	2025-10-15 14:20:00	0	1.99e-08	70	50	0.069	5.5	17.25	2.75	None	30	50	10
NING-8(2795)	2025-10-10 15:14:00	0	1.46E8	69	50	0.106	5.5	19.5	0.5	None	30	50	10
NING-7(2794)	2025-10-08 16:35:00	0	2E-8	70	50	0.099	5.5	18.5	1.5	None	30	50	10
NING-6(2792)	2025-10-07 11:27:00	0	2E-8	70	50	0.076	5.5	17.5	2.5	None	30	50	10
NING-5(2791)	2025-10-03 17:35:00	0	1.8E-8	70	40?/50	0.72/0.85	5	17.5/18.5	2.5/1.5	None	30	50	10
LANB-14(2790)	2025-09-19 15:34:00	100
