# 2pts measurement, sourcing 1mA
# index	time	T_plat(K)	T_samp(K)	V(V)
0	0.115	3.68	3.767	0.002461768
1	1.262	3.68	3.767	0.002461679
2	2.41	3.678	3.764	0.002459303
3	3.564	3.678	3.764	0.002457012
4	4.715	3.68	3.766	0.002461851
5	5.951	3.68	3.766	0.002459219
6	7.121	3.667	3.767	0.002461256
7	8.311	3.667	3.767	0.002459559
8	9.458	3.668	3.761	0.002460747
9	10.649	3.687	3.76	0.002459897
10	11.803	3.687	3.76	0.002457861
11	12.954	3.741	3.788	0.002459473
12	14.104	3.741	3.788	0.002456337
13	15.252	3.81	3.883	0.002457438
14	16.402	3.81	3.883	0.00245888
15	17.556	3.924	3.992	0.002458625
16	18.7	3.924	3.992	0.002461935
17	19.845	4.081	4.136	0.002458201
18	20.998	4.081	4.136	0.002460747
19	22.155	4.254	4.291	0.002465755
20	23.3	4.254	4.291	0.002464736
21	24.455	4.434	4.462	0.002462616
22	25.605	4.434	4.462	0.002463292
23	26.748	4.602	4.628	0.002467706
24	27.901	4.602	4.628	0.002463037
25	29.045	4.796	4.834	0.002467622
26	30.19	4.796	4.834	0.002466011
27	31.337	4.99	4.918	0.002467707
28	32.482	4.99	4.918	0.002467874
29	33.638	5.181	5.2	0.002468213
30	34.786	5.181	5.2	0.002471015
31	35.942	5.36	5.372	0.0024638
32	37.107	5.36	5.372	0.002469317
33	38.26	5.524	5.534	0.002472966
34	39.413	5.524	5.534	0.002467366
35	40.567	5.689	5.716	0.002470251
36	41.72	5.689	5.716	0.002471864
37	42.87	5.809	5.85	0.002474834
38	44.014	5.809	5.85	0.002471781
39	45.16	5.944	5.974	0.002474071
40	46.307	5.944	5.974	0.00247076
41	47.452	6.106	6.11	0.002477889
42	48.595	6.106	6.11	0.002479075
43	49.736	6.262	6.261	0.002485525
44	50.889	6.262	6.261	0.002483574
45	52.037	6.419	6.433	0.002488071
46	53.197	6.419	6.433	0.002484763
47	54.343	6.568	6.591	0.002491212
48	55.495	6.568	6.591	0.002485693
49	56.641	6.76	6.756	0.002492569
50	57.788	6.76	6.756	0.002497239
